station_id,name,arrondissement,lat,lon
789,Curé-Poirier / Joliette,Longueuil,45.52034169784984,-73.48791999746027
927,Cyclo winter station,Rosemont - La Petite-Patrie,0.0,0.0
80,CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),Ville-Marie,45.51401222645779,-73.56598667800426
258,Cégep André-Laurendeau (Lapierre),LaSalle,45.43605512104547,-73.60577523708344
812,Cégep Marie-Victorin,Rivière-des-Prairies - Pointe-aux-Trembles,45.61749978312808,-73.60601127147675
674,Cégep Édouard-Montpetit (de Normandie),Longueuil,45.53724605357659,-73.49498215598032
1052,D'Iberville/Fleury,Ahuntsic-Cartierville,45.575431237891664,-73.64741921424866
676,Dandurand / D'Iberville,Rosemont - La Petite-Patrie,45.5443716426341,-73.5809513926506
871,Daniel-Johnson / Cartier O,Laval,45.54334371050831,-73.72530519962311
704,Darling / Sherbrooke,Rosemont - La Petite-Patrie,45.54545514686953,-73.55673909187317
844,De Callières / d'Auvergne,Laval,45.59342197869864,-73.6690217256546
905,De la Commune / Autoroute Bonaventure,Ville-Marie,45.49317114350468,-73.55356428307459
281,Desaulniers / Marquette,Longueuil,45.52468003531611,-73.51046747529834
736,Desjardins / Ontario,Mercier - Hochelaga-Maisonneuve,45.55118417872238,-73.54087114334106
651,Dixie / 54e avenue,Lachine,45.44255264540259,-73.71770113706589
579,Dollard / Bernard,Outremont,45.51678269880724,-73.61142262816429
158,Dollard / Van Horne,Outremont,45.51887607468706,-73.6161071062088
7,Dorion / Ontario,Ville-Marie,45.526991277453526,-73.55821162462234
689,Drolet / Beaubien,Rosemont - La Petite-Patrie,45.533348,-73.605834
845,Drolet / Gounod,Villeray—Saint-Michel—Parc-Extension,45.54095134225734,-73.62637460231781
495,Drolet / Jarry,Villeray—Saint-Michel—Parc-Extension,45.54195463236575,-73.62994194030762
219,Drolet / Marie-Anne,Le Plateau-Mont-Royal,45.52240257341408,-73.58117669820786
732,Drolet / St-Zotique,Rosemont - La Petite-Patrie,45.53488214147823,-73.60941231250763
832,Drummond / Sherbrooke,Ville-Marie,45.50053575221416,-73.578113079202
884,Drummond / Ste-Catherine,Ville-Marie,45.49861674293281,-73.5741600394249
116,Drummond / de Maisonneuve,Ville-Marie,45.49984952085512,-73.57672896243457
458,Drummond / des-Canadiens-de-Montréal,Ville-Marie,45.49676067752141,-73.57027635600843
177,Du Quesne / de Marseille,Mercier - Hochelaga-Maisonneuve,45.575812361972055,-73.54123055934906
814,Dubois / Eadie,Le Sud-Ouest,45.45760820718457,-73.59051011502743
638,Duchesneau / de Marseille,Mercier - Hochelaga-Maisonneuve,45.60962627826218,-73.52273898082785
1060,Dudemaine / James-Morrice,Ahuntsic-Cartierville,45.534717640125805,-73.69273205651552
26,Duke / Nazareth,Ville-Marie,45.49572236030835,-73.55461344122887
387,Duluth  / St-Denis,Le Plateau-Mont-Royal,45.52062760607925,-73.57594907283782
131,Duluth / de l'Esplanade,Le Plateau-Mont-Royal,45.515132275425785,-73.58105599880219
1130,Dunkirk / Laird,Mont-Royal,45.51588782124145,-73.6423122882843
138,Durocher / Beaumont,Villeray—Saint-Michel—Parc-Extension,45.52799772330074,-73.61919969320297
371,Durocher / Bernard,Outremont,45.52222528598142,-73.60668718814848
215,Durocher / Sherbrooke,Le Plateau-Mont-Royal,45.507088290505685,-73.57227981090546
548,Duvernay / Charlevoix,Le Sud-Ouest,45.482097305112845,-73.57487753033638
808,Dézéry / Ontario,Mercier - Hochelaga-Maisonneuve,45.54095791741757,-73.54702949523926
975,Eadie / Galt,Le Sud-Ouest,45.46299810854156,-73.59011898464814
509,Earnscliffe / Queen-Mary,Côte-des-Neiges - Notre-Dame-de-Grâce,45.48184399150666,-73.6303972452879
1061,Edouard-Montpetit / de Stirling,Côte-des-Neiges - Notre-Dame-de-Grâce,45.50737888711866,-73.61485987901688
560,Egan / Laurendeau,Le Sud-Ouest,45.45290792768395,-73.58918591405198
615,Elgar / de l'Île-des-Sœurs,Verdun,45.45682318753668,-73.546804189682
1255,Elmwood / Mc Dougall,Outremont,45.51778642010814,-73.60364019870758
574,Ernest-Gendreau / du Mont-Royal,Rosemont - La Petite-Patrie,45.549713734001415,-73.56384828686714
1004,Esplanade / Rachel,Le Plateau-Mont-Royal,45.51631633525551,-73.58359336853027
569,Everett / Garnier,Villeray—Saint-Michel—Parc-Extension,45.54758153109644,-73.61220851540565
1113,Fabre / Bélanger,Rosemont - La Petite-Patrie,45.54531238320964,-73.60490083694458
1214,Fabre / Jean-Talon,Rosemont - La Petite-Patrie,45.546634811657086,-73.60776543617249
683,Fabre / Laurier,Le Plateau-Mont-Royal,45.53458691154375,-73.58259929347696
118,Fabre / St-Zotique,Rosemont - La Petite-Patrie,45.543653916207866,-73.60126135876271
524,Fabrik8 (Waverly / Jean-Talon),Villeray—Saint-Michel—Parc-Extension,45.53330725719417,-73.62082242965698
510,Faillon / St-Denis,Villeray—Saint-Michel—Parc-Extension,45.53989085278141,-73.62026989459991
836,Fairmount / Hutchison,Le Plateau-Mont-Royal,45.51969064184933,-73.59826556408734
644,Fernand-Lafontaine / Adoncour,Longueuil,45.5512193,-73.483912
250,Fortune / Wellington,Le Sud-Ouest,45.477923,-73.559038
607,Francis / Fleury,Ahuntsic-Cartierville,45.56387237463668,-73.6555677652359
48,Frontenac / Ste-Catherine,Ville-Marie,45.53006276144042,-73.54559183120728
483,Fullum / Gilford,Le Plateau-Mont-Royal,45.539198007249375,-73.5737818479538
284,Fullum / Marie-Anne,Le Plateau-Mont-Royal,45.53650541861215,-73.56803923845291
237,Fullum / Ontario,Ville-Marie,45.5303174,-73.5548669
1054,Fullum / Sherbrooke,Le Plateau-Mont-Royal,45.53378566312351,-73.56228053569794
220,Fullum / Ste-Catherine,Ville-Marie,45.527137816431285,-73.54804444319598
682,Fullum / Terrasse Mercure,Le Plateau-Mont-Royal,45.535541603465234,-73.56593906879425
193,Fullum / de Rouen,Ville-Marie,45.53225536243612,-73.55892024004788
363,Gagne / LaSalle,LaSalle,45.422451407155854,-73.601194024086
1182,Galt / de Verdun,Verdun,45.46215378258404,-73.57102463596675
504,Gare Bois-de-Boulogne,Ahuntsic-Cartierville,45.53972553109637,-73.67716491222382
1190,Gare Centrale (de la Gauchetière / Mansfield),Ville-Marie,45.49982531155875,-73.5660799094876
758,Gare LaSalle (Highlands),LaSalle,45.425612687757926,-73.65713578464238
796,Gare Lachine (Sir George Simpson / 48e avenue),Lachine,45.447821314280105,-73.71091783046722
523,Gare Montpellier (Muir / de la Côte-Vertu),Saint-Laurent,45.52374047147138,-73.67169924080372
752,Gare St-Michel / Montréal-Nord (Pie-IX / 56e),Montréal-Nord,45.583197821913785,-73.62978704273701
49,Gare d'autocars de Montréal (Berri / Ontario),Ville-Marie,45.516926210319546,-73.56425732374191
